Designator,Mid X,Mid Y,Rotation,Layer
C1,156.21,-46.5996,0.0,top
C10,155.9052,-109.22,270.0,top
C11,162.7124,-101.9048,0.0,top
C12,159.258,-95.1484,90.0,top
C13,152.8064,-102.0572,180.0,top
C14,155.194,-95.1484,90.0,top
C15,163.3728,-75.438,0.0,top
C16,160.8836,-76.7842,180.0,bottom
C17,154.0924,-79.4379,0.0,bottom
C18,152.3492,-75.4888,180.0,top
C19,161.838,-62.1792,0.0,bottom
C20,153.376,-62.23,180.0,bottom
C21,161.3916,-44.6184,90.0,top
C3,162.8648,-105.156,0.0,top
C30,151.2824,-69.1896,270.0,bottom
C31,164.846,-53.975,180.0,bottom
C32,152.3492,-87.8332,270.0,top
C33,162.7632,-87.8332,90.0,top
C34,151.638,-116.1288,270.0,top
C35,163.2204,-115.7732,90.0,top
C36,150.4696,-53.975,180.0,bottom
C37,164.1856,-69.1896,90.0,bottom
C4,159.3596,-109.2708,270.0,top
C44,162.6108,-127.6604,180.0,bottom
C46,152.6032,-127.508,180.0,bottom
C5,152.5524,-125.0188,180.0,top
C6,156.0068,-123.3932,90.0,top
C7,163.0172,-125.4252,0.0,top
C8,159.3596,-123.3932,90.0,top
C9,152.654,-104.4956,180.0,top
J1,141.624045,-64.256597,0.0,top
J10,131.464049,-106.928583,0.0,top
J11,141.6304,-121.1526,0.0,top
J12,131.464049,-121.152573,0.0,top
J13,157.8914,-136.2406,270.0,bottom
J14,157.627,-39.853,90.0,top
J15,157.602,-144.272,90.0,top
J16,136.525,-39.878,270.0,bottom
J17,136.52,-144.272,270.0,bottom
J18,128.778,-47.239,0.0,bottom
J19,149.885,-47.244,0.0,top
J2,131.464049,-64.256597,0.0,top
J3,141.624045,-135.376569,0.0,top
J4,131.464049,-135.376569,0.0,top
J5,141.624045,-78.480587,0.0,top
J6,131.464049,-78.480587,0.0,top
J7,141.6304,-92.7046,0.0,top
J8,131.464049,-92.704587,0.0,top
J9,141.624045,-106.928578,0.0,top
R1,134.9756,-73.6092,90.0,bottom
R10,157.3784,-43.5516,90.0,top
R11,137.9728,-88.138,90.0,bottom
R12,135.001,-88.011,90.0,bottom
R13,141.4272,-105.4608,90.0,bottom
R14,155.8036,-127.9144,90.0,top
R15,155.956,-122.5804,270.0,bottom
R16,152.5524,-122.428,180.0,top
R17,151.3332,-119.38,180.0,top
R18,159.3596,-127.9144,90.0,top
R19,159.4104,-121.4628,270.0,bottom
R2,138.43,-71.628,270.0,bottom
R20,155.8544,-105.0704,270.0,top
R21,155.8544,-105.0704,270.0,bottom
R22,162.9156,-122.2756,0.0,top
R23,150.9268,-108.5088,180.0,top
R24,164.4396,-119.0244,0.0,top
R25,150.876,-112.4712,180.0,top
R26,160.1724,-99.1616,180.0,top
R27,159.1056,-95.25,270.0,bottom
R28,154.8384,-99.1616,0.0,top
R29,156.4132,-95.1992,270.0,bottom
R3,128.9304,-53.1876,90.0,bottom
R30,162.9664,-96.3168,0.0,top
R31,151.5872,-96.6724,180.0,top
R32,164.4904,-91.5416,0.0,top
R33,150.622,-91.5924,180.0,top
R34,164.592,-79.502,90.0,top
R35,159.4612,-79.502,90.0,top
R36,164.9476,-72.39,0.0,top
R37,161.7472,-79.502,270.0,top
R38,160.8836,-78.9432,0.0,bottom
R39,151.2824,-79.502,90.0,top
R4,140.7668,-53.34,90.0,bottom
R40,154.0924,-77.0503,180.0,bottom
R41,153.3144,-79.502,90.0,top
R42,155.3972,-79.4512,270.0,top
R43,150.4856,-72.898,180.0,top
R44,160.1724,-59.182,90.0,top
R45,155.5496,-59.2836,90.0,top
R46,164.846,-49.784,270.0,top
R47,162.7124,-49.784,270.0,top
R48,128.4732,-128.6256,270.0,bottom
R49,143.9672,-119.6848,270.0,bottom
R5,159.3088,-105.1052,270.0,top
R50,163.6776,-44.6184,90.0,top
R51,131.826,-105.3592,90.0,bottom
R52,131.6228,-119.5324,90.0,bottom
R53,141.478,-119.634,90.0,bottom
R54,151.7904,-54.0004,90.0,top
R55,164.1856,-54.102,90.0,top
R56,164.2872,-58.6232,90.0,top
R57,152.8572,-58.6232,90.0,top
R6,162.8648,-109.0676,0.0,top
R7,159.512,-105.0544,270.0,bottom
R8,164.2872,-112.4712,0.0,top
R9,155.0924,-43.5516,90.0,top
RV2,139.915,-48.0816,180.0,top
U1,157.607,-52.578,270.0,top
U2,157.5816,-68.1736,270.0,top
U3,157.4292,-87.6808,270.0,top
U4,157.4292,-116.2063,270.0,top
